,0
34,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Fine Arts Center, Art Dept Computer Classroom"
35,"1.00 1/6/2020 4/17/2020ART 371 01 N Internship Self-Help Int'l Waverly Payne, Thomas R. 0/1 Full"
36,"1.00 1/6/2020 4/17/2020ART 462 01 Seminar in Art: Exhibition Payne, Thomas R. Fedeler, Barbara J. 2/10 Open"
37,"MW 2:30 PM-3:35 PM; Wartburg College Campus, Fine Arts Center, Art classroom"
38,"0.50 1/6/2020 4/17/2020ART 480 01 K-12 Art Methods Maynard, Lynsie Ellen 15/18 Open"
39,"MW 6:30 PM-9:00 PM; Wartburg College Campus, Fine Arts Center, ART DEPT Computer East Door"
40,"1.50 1/6/2020 4/17/2020BA 311 01 Comm for Business Professionals Gonnerman, Melvin E. Jr 0/22 Full"
41,"T 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
42,"0.50 1/6/2020 4/17/2020BA 311 02 Comm for Business Professionals Gonnerman, Melvin E. Jr 2/22 Open"
43,"H 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
44,"0.50 1/6/2020 4/17/2020BA 331 01 Business Law I Luhring, Lana L. 0/40 Full"
45,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
46,"1.00 1/6/2020 4/17/2020BA 334 01 Business Finance Abdiah, Suleman 0/36 Full"
47,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
48,"1.00 1/6/2020 4/17/2020BA 338 01 Portfolio Management Sommermeyer, Eric 0/15 Full"
49,"T 2:50 PM-3:40 PM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
50,"0.25 1/6/2020 4/17/2020BA 345 01 Principles of Management Bernard, Allan B. 0/32 Full"
51,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
52,"1.00 1/6/2020 4/17/2020BA 345 02 Principles of Management Meyeraan, Susan L. 5/32 Open"
53,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
54,"1.00 1/6/2020 4/17/2020BA 346 01 Human Resource Management Meyeraan, Susan L. 15/35 Open"
55,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
56,"1.00 1/6/2020 4/17/2020BA 353 01 Principles of Marketing Gonnerman, Melvin E. Jr 0/32 Full"
57,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
58,"1.00 1/6/2020 4/17/2020BA 353 02 Principles of Marketing Folkers, Kimberly K. 4/32 Open"
59,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Whitehouse Business Center, Classroom"
60,"1.00 1/6/2020 4/17/2020BA 361 01 Operations Management Black, Daniel W. 14/25 Open"
61,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
62,"1.00 1/6/2020 4/17/2020BA 371 01 N Internship Security State Bank Meyeraan, Susan L. 0/1 Full"
63,"0.25 1/6/2020 4/17/2020BA 375 01 Online Marketing Richardson-Burns, Rhonda L. Bernard, Allan B. 7/32 Open"
64,"T 6:30 PM-9:30 PM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
65,"1.00 1/6/2020 4/17/2020BA 418 01 Sustainable Economics and Finance Quaicoe, Nana A.G.T. 7/30 Open"
66,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
67,"1.00 1/6/2020 4/17/2020BA 438 01 Organizational Behavior & Mgmt Gonnerman, Melvin E. Jr 11/30 Open"
68,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Whitehouse Business Center, Classroom"
69,"1.00 1/6/2020 4/17/2020BA 442 01 International Marketing Folkers, Kimberly K. 15/28 Open"
70,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Whitehouse Business Center, Classroom"
71,"1.00 1/6/2020 4/17/2020BA 454 01 Advertising and Promotion Folkers, Kimberly K. 0/30 Full"
72,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Whitehouse Business Center, Classroom"
73,"1.00 1/6/2020 4/17/2020BA 460 01 Senior Seminar in Business Bernard, Allan B. 0/22 Full"
74,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
75,"1.00 1/6/2020 4/17/2020BA 460 02 Senior Seminar in Business Bernard, Allan B. 0/22 Full"
76,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
77,"1.00 1/6/2020 4/17/2020BA 481 01 Fin Stmt Anlysis & Secur Valuation Sommermeyer, Eric 11/40 Open"
78,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
79,"1.00 1/6/2020 4/17/2020BI 130 01 Drugs and Personal Health Place, Alexandra Cleone 0/24 Full"
80,"MF 1:15 PM-2:55 PM; Wartburg College Campus, Science Center, Lecture Room"
81,"1.00 1/6/2020 4/17/2020BI 130 01 L Drugs and Pers Health Lab Place, Alexandra Cleone 0/24 Full"
82,"W 1:15 PM-2:55 PM; Wartburg College Campus, Science Center, Lab"
83,"0.00 1/6/2020 4/17/2020BI 131 01 Biology of Ordinary Things Bechtel, Michael D. 2/24 Open"
84,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
85,"1.00 1/6/2020 4/17/2020BI 131 01 L Biology of Ordinary Things Lab Bechtel, Michael D. 0/24 Full"
86,"T 7:45 AM-9:25 AM; Wartburg College Campus, Science Center, Classroom"
87,"0.00 1/6/2020 4/17/2020BI 131 02 Biology of Ordinary Things Bechtel, Michael D. 0/24 Full"
88,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Classroom"
89,"1.00 1/6/2020 4/17/2020BI 131 02 L Biology of Ordinary Things Lab Bechtel, Michael D. 3/24 Open"
90,"T 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Classroom"
91,"0.00 1/6/2020 4/17/2020BI 152 01 Bio II:Phylogeny,Structure,Function Larimer Bousquet, Samantha C. Gerken Golay, Michaeleen 8/70 Open"
92,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Lecture Room"
93,"1.00 1/6/2020 4/17/2020BI 152 01 L Bio II:Phylogeny,Structure,Func Lab Berns, Eric V. 0/24 Full"
94,"T 7:45 AM-11:00 AM; Wartburg College Campus, Science Center, Classroom"
95,"0.00 1/6/2020 4/17/2020BI 152 02 Bio II:Phylogeny,Structure,Function Gerken Golay, Michaeleen Larimer Bousquet, Samantha C. 12/50 Open"
96,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, Lecture Room"
97,"1.00 1/6/2020 4/17/2020BI 152 02 L Bio II:Phylogeny,Structure,Func Lab Berns, Eric V. 0/24 Full"
98,"T 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Classroom"
99,"0.00 1/6/2020 4/17/2020BI 152 04 L Bio II:Phylogeny,Structure,Func Lab Berns, Eric V. 0/24 Full"
100,"H 7:45 AM-11:00 AM; Wartburg College Campus, Science Center, Classroom"
101,"0.00 1/6/2020 4/17/2020BI 152 05 L Bio II:Phylogeny,Structure,Func Lab McClung, J. Keith 1/24 Open"
102,"H 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Classroom"
103,"0.00 1/6/2020 4/17/2020BI 201 01 Plant Biology Gerken Golay, Michaeleen 14/24 Open"
104,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, Field Ecology Room"
105,"1.00 1/6/2020 4/17/2020BI 201 01 L Plant Biology Gerken Golay, Michaeleen 14/24 Open"
106,"H 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Field Ecology Room"
107,"0.00 1/6/2020 4/17/2020BI 204 01 R Conserv of Natural Resources Bechtel, Michael D. 0/1 Full"
108,"1.00 1/6/2020 4/17/2020BI 204 02 R Conserv of Natural Resources McCullough, David A. 0/1 Full"
109,"1.00 1/6/2020 4/17/2020BI 204 0R L Conserv of Natural Resources Lab Bechtel, Michael D. 0/1 Full"
110,"0.00 1/6/2020 4/17/2020BI 204 2R L Conserv of Natural Resources McCullough, David A. 0/1 Full"
111,"0.00 1/6/2020 4/17/2020BI 211 01 Genetics McCullough, David A. 11/48 Open"
112,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Lecture Room"
113,"1.00 1/6/2020 4/17/2020BI 211 01 L Genetics Lab 1 McCullough, David A. 10/24 Open"
114,"MW 3:50 PM-5:30 PM; Wartburg College Campus, Science Center, Lab"
115,"0.00 1/6/2020 4/17/2020BI 211 02 L Genetics Lab 2 McCullough, David A. 1/24 Open"
116,"TH 7:45 AM-9:25 AM; Wartburg College Campus, Science Center, Lab"
117,"0.00 1/6/2020 4/17/2020BI 305 01 Microbiology Sylvain, Zachary A. 0/48 Full"
118,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, Lecture Room"
119,"1.00 1/6/2020 4/17/2020BI 305 01 L Microbiology Lab 1 Sylvain, Zachary A. 0/24 Full"
120,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Lab"
121,"0.00 1/6/2020 4/17/2020BI 305 02 L Microbiology Lab 2 Sylvain, Zachary A. 0/24 Full"
122,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Lab"
123,"0.00 1/6/2020 4/17/2020BI 312 01 Mammalian Anatomy and Physiology II Blay, Nicholas W. 26/72 Open"
124,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, Lecture Room"
125,"1.00 1/6/2020 4/17/2020BI 312 01 L Mammalian Anat and Phys II Lab 1 Blay, Nicholas W. 10/24 Open"
126,"T 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Lab"
127,"0.00 1/6/2020 4/17/2020BI 312 02 L Mammalian Anat and Phys II Lab 2 Blay, Nicholas W. 7/24 Open"
128,"H 7:45 AM-11:00 AM; Wartburg College Campus, Science Center, Lab"
129,"0.00 1/6/2020 4/17/2020BI 312 03 L Mammalian Anat and Phys II Lab 3 Blay, Nicholas W. 9/24 Open"
130,"H 1:00 PM-4:15 PM; Wartburg College Campus, Science Center, Lab"
131,"0.00 1/6/2020 4/17/2020BI 355 20 Biomechanics of Human Movement Dietz Parsons, Patricia R. 28/30 Open"
132,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Wartburg-Waverly Sports & Wellness Center, CLASSROOM"
133,"0.50 2/19/2020 4/17/2020BI 416 01 Molecular Biology of Cancer McClung, J. Keith 11/20 Open"
134,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, Classroom"
135,"1.00 1/6/2020 4/17/2020BI 416 01 L Molecular Biology of Cancer Lab McClung, J. Keith 11/20 Open"
136,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Lab"
137,"0.00 1/6/2020 4/17/2020BI 440 01 Teaching Practicum in Biology Blay, Nicholas W. 4/10 Open"
138,Wartburg College Campus
139,"0.25 1/6/2020 4/17/2020BI 455 01 Methods of Biological Research McClung, J. Keith Ventullo, Roy M. 6/16 Open"
140,"T 6:30 PM-7:35 PM; Wartburg College Campus, Science Center, Classroom"
141,"0.50 1/6/2020 4/17/2020BI 456 01 Student Originated Research Ventullo, Roy M. McClung, J. Keith 0/24 Full"
142,"T 7:45 PM-8:50 PM; Wartburg College Campus, Science Center, Classroom"
143,"0.50 1/6/2020 4/17/2020BI 461 01 Science Seminar McClung, J. Keith 2/25 Open"
144,"MW 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Classroom"
145,"0.50 1/6/2020 4/17/2020CCJ 305 01 Victimology McQueen, John B. 6/20 Open"
146,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Luther Hall, CLASSROOM"
147,"1.00 1/6/2020 4/17/2020CCJ 309 01 Juvenile Justice McQueen, John B. 4/20 Open"
148,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Classroom Technology Center, Classroom"
149,"1.00 1/6/2020 4/17/2020CCJ 335 01 Crime and Deviance McQueen, John B. 4/25 Open"
150,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, Luther Hall, CLASSROOM"
151,"1.00 1/6/2020 4/17/2020CH 114 01 Principles of Chemistry II DeVries, Christine A. 1/60 Open"
152,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, Lecture Room"
153,"1.00 1/6/2020 4/17/2020CH 114 01 L Principles of Chemistry II Lab 1 DeVries, Christine A. 0/24 Full"
154,"T 8:30 AM-11:15 AM; Wartburg College Campus, Science Center, Lab"
155,"0.00 1/6/2020 4/17/2020CH 114 02 Principles of Chemistry II Zart, Leilani 47/100 Open"
156,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Lecture Room"
157,"1.00 1/6/2020 4/17/2020CH 114 02 L Principles of Chemistry II Lab 2 DeVries, Christine A. 2/24 Open"
158,"T 1:00 PM-3:45 PM; Wartburg College Campus, Science Center, Lab"
159,"0.00 1/6/2020 4/17/2020CH 114 03 L Principles of Chemistry II Lab 3 Schumacher, Douglas D. 4/24 Open"
160,"H 8:30 AM-11:15 AM; Wartburg College Campus, Science Center, Lab"
161,"0.00 1/6/2020 4/17/2020CH 114 04 L Principles of Chemistry II Lab 4 Zart, Matthew K. 2/24 Open"
162,"H 8:30 AM-11:15 AM; Wartburg College Campus, Science Center, Lab"
163,"0.00 1/6/2020 4/17/2020CH 114 05 L Principles of Chemistry II Lab 5 Schumacher, Douglas D. 0/24 Full"
164,"H 1:00 PM-3:45 PM; Wartburg College Campus, Science Center, Lab"
165,"0.00 1/6/2020 4/17/2020CH 212 01 Organic Chemistry II Zart, Leilani 24/54 Open"
166,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, Lecture Room"
167,"1.00 1/6/2020 4/17/2020CH 212 01 L Organic Chemistry II Lab 1 Zart, Leilani 8/18 Open"
168,"T 1:00 PM-4:30 PM; Wartburg College Campus, Science Center, Lab"
169,"0.00 1/6/2020 4/17/2020CH 212 02 L Organic Chemistry II Lab 2 Zart, Matthew K. 11/18 Open"
170,"W 6:30 PM-10:00 PM; Wartburg College Campus, Science Center, Lab"
171,"0.00 1/6/2020 4/17/2020CH 212 03 L Organic Chemistry II Lab 3 Zart, Leilani 5/18 Open"
172,"H 1:00 PM-4:30 PM; Wartburg College Campus, Science Center, Lab"
173,"0.00 1/6/2020 4/17/2020CH 217 01 Analytical Chemistry Zart, Matthew K. 17/36 Open"
174,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, Classroom"
175,"1.00 1/6/2020 4/17/2020CH 217 01 L Analytical Chemistry Lab 1 Zart, Matthew K. 11/18 Open"
176,"T 8:00 AM-10:45 AM; Wartburg College Campus, Science Center, Lab"
177,"0.00 1/6/2020 4/17/2020CH 217 02 L Analytical Chemistry Lab 2 Zart, Matthew K. 6/18 Open"
178,"T 1:00 PM-3:45 PM; Wartburg College Campus, Science Center, Lab"
179,"0.00 1/6/2020 4/17/2020CH 316 01 Chemical Thermodynamics & Kinetics DeVries, Christine A. 9/18 Open"
180,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, Classroom"
181,"1.00 1/6/2020 4/17/2020CH 316 01 L Chem Thermodynamics & Kinetics Lab DeVries, Christine A. 9/18 Open"
182,"H 1:00 PM-4:00 PM; Wartburg College Campus, Science Center, Lab"
183,"0.00 1/6/2020 4/17/2020CH 371 01 N Internship Meyer Pharmacy DeVries, Christine A. 0/1 Full"
184,"1.00 1/6/2020 4/17/2020CH 425 01 Advanced Biochemistry Ellerbroek, Shawn M. 7/36 Open"
185,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, Classroom"
186,"1.00 1/6/2020 4/17/2020CH 425 01 L Advanced Biochemistry Lab Ellerbroek, Shawn M. 1/18 Open"
187,"T 1:00 PM-3:45 PM; Wartburg College Campus, Science Center, Lab"
188,"0.00 1/6/2020 4/17/2020CH 425 02 L Advanced Biochemistry Lab 2 Ellerbroek, Shawn M. 7/18 Open"
189,"H 1:00 PM-3:45 PM; Wartburg College Campus, Science Center, Lab"
190,"0.00 1/6/2020 4/17/2020CH 450 01 I IndStud Devel of Inq-Based Learning Zart, Leilani 0/1 Full"
191,"1.00 1/6/2020 4/17/2020CH 456 01 Student-Originated Research Ellerbroek, Shawn M. 1/8 Open"
192,"T 7:45 PM-8:50 PM; Wartburg College Campus, Science Center, Classroom"
193,"0.50 1/6/2020 4/17/2020CH 456 01 R Student-Originated Research Ellerbroek, Shawn M. 0/1 Full"
194,"0.50 1/6/2020 4/17/2020COM 100 01 Introduction to Communication Martin, Jessica M. 27/50 Open"
195,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Lecture Room"
196,"1.00 1/6/2020 4/17/2020COM 112 10 Oral Communication Pier, Penni M. 0/22 Full"
197,"MWF 7:45 AM-8:50 AM; Wartburg College Campus, McElroy Center, Classroom"
198,"0.50 1/6/2020 2/18/2020COM 112 11 Oral Communication Ohrt, Pamela J. 0/22 Full"
199,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, McElroy Center, Classroom"
200,"0.50 1/6/2020 2/18/2020COM 112 12 Oral Communication Pier, Penni M. 0/22 Waitlisted"
201,"MWF 2:30 PM-3:35 PM; Wartburg College Campus, McElroy Center, Classroom"
202,"0.50 1/6/2020 2/18/2020COM 112 20 Oral Communication Ohrt, Pamela J. 0/22 Full"
203,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, McElroy Center, Classroom"
204,"0.50 2/19/2020 4/17/2020COM 125 01 TV Practicum Johnson, Ronald A. 92/99 Open"
205,"0.25 1/6/2020 4/17/2020COM 126 01 Radio Practicum Ohrt, Pamela J. 95/99 Open"
206,"0.25 1/6/2020 4/17/2020COM 127 01 Organizational & PR Practicum Pier, Penni M. 92/99 Open"
207,"0.25 1/6/2020 4/17/2020COM 128 01 Print Practicum Martin, Jessica M. 89/99 Open"
208,"0.25 1/6/2020 4/17/2020COM 200 01 Media Writing Ohrt, Pamela J. 21/38 Open"
209,"M 2:30 PM-3:35 PM; Wartburg College Campus, McElroy Center, Classroom"
210,"1.00 1/6/2020 4/17/2020COM 200 01 L Media Writing Lab 1 Ohrt, Pamela J. 9/19 Open"
211,"T 1:00 PM-2:40 PM; Wartburg College Campus, McElroy Center, JOURNALISM LAB"
212,"0.00 1/6/2020 4/17/2020COM 200 02 L Media Writing Lab 2 Ohrt, Pamela J. 12/19 Open"
213,"H 1:00 PM-2:40 PM; Wartburg College Campus, McElroy Center, JOURNALISM LAB"
214,"0.00 1/6/2020 4/17/2020COM 206 01 Audio Production Ohrt, Pamela J. 0/16 Full"
215,"TH 9:35 AM-11:15 AM; Wartburg College Campus, McElroy Center, JOURNALISM LAB"
216,"1.00 1/6/2020 4/17/2020COM 211 01 Video Production Johnson, Ronald A. 0/16 Full"
217,"TH 2:50 PM-4:30 PM; Wartburg College Campus, McElroy Center, JOURNALISM LAB"
218,"1.00 1/6/2020 4/17/2020COM 270 01 Comm Persp:Gender & Sexuality Pier, Penni M. 11/25 Open"
219,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, McElroy Center, Classroom"
220,"1.00 1/6/2020 4/17/2020COM 304 01 Media Marketing and Management Johnson, Ronald A. 40/50 Open"
221,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, McElroy Center, Classroom"
222,"1.00 1/6/2020 4/17/2020COM 312 01 Broadcast Journalism Martin, Jessica M. 9/16 Open"
223,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, McElroy Center, JOURNALISM LAB"
224,"1.00 1/6/2020 4/17/2020COM 348 01 Integrated Marketing Communication Fruehling, Lynne A. 9/24 Open"
225,"TH 1:00 PM-2:40 PM; Wartburg College Campus, McElroy Center, Classroom"
226,"1.00 1/6/2020 4/17/2020COM 349 01 Multimedia Journalism Martin, Jessica M. 3/16 Open"
227,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, McElroy Center, Classroom"
228,"1.00 1/6/2020 4/17/2020COM 371 01 N Internship Waverly Chamber of Comm. Pier, Penni M. 1/1 Open"
229,"1.00 1/6/2020 4/17/2020COM 372 01 N Internship: Tilt Point Jesup Pier, Penni M. 0/1 Full"
230,"1.00 1/6/2020 4/17/2020COM 375 01 Online Marketing Richardson-Burns, Rhonda L. Bernard, Allan B. 24/32 Open"
231,"T 6:30 PM-9:30 PM; Wartburg College Campus, Whitehouse Business Center, COMPUTER ROOM"
232,"1.00 1/6/2020 4/17/2020COM 461 01 Journalism & Communication Capstone Pier, Penni M. 8/24 Open"
233,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, McElroy Center, Classroom"
234,"1.00 1/6/2020 4/17/2020CS 110 01 Introduction to Information Systems Hamilton, Peggy K. 0/34 Full"
235,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, Classroom"
236,"1.00 1/6/2020 4/17/2020CS 110 02 Introduction to Information Systems Hamilton, Peggy K. 0/34 Full"
237,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, Classroom"
238,"1.00 1/6/2020 4/17/2020CS 205 01 Data Wrangling and Visualization Letsche, Terry L. 12/34 Open"
239,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, CLASSROOM"
240,"1.00 1/6/2020 4/17/2020CS 220 01 Obj-Orient Prog & Intro Data Struct Zelle, John M. 0/34 Full"
241,"MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, CLASSROOM"
242,"1.00 1/6/2020 4/17/2020CS 320 01 Data Structure & Algorithm Analysis Zelle, John M. 17/34 Open"
243,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, CLASSROOM"
244,"1.00 1/6/2020 4/17/2020CS 320 01 R Data Structure & Algorithm Analysis Zelle, John M. 1/1 Open"
245,"1.00 1/6/2020 4/17/2020CS 371 01 N Internship: St. John Luth. Church Zelle, John M. 0/1 Full"
246,"1.00 1/6/2020 4/17/2020CS 450 01 I Indep Study Natural Lang Processing Zelle, John M. 0/2 Full"
247,"0.50 1/6/2020 4/17/2020CS 460 01 Systems Design Project Zelle, John M. 22/34 Open"
248,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, CLASSROOM"
249,"1.00 1/6/2020 4/17/2020CS 460 01 R Systems Design Project Zelle, John M. 0/1 Full"
250,"1.00 1/6/2020 4/17/2020CS 461 01 Perspectives in Computer Science Letsche, Terry L. 18/30 Open"
251,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, CLASSROOM"
252,"1.00 1/6/2020 4/17/2020EC 117 01 Principles of Macroeconomics Abdiah, Suleman 21/45 Open"
253,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
254,"1.00 1/6/2020 4/17/2020EC 117 02 Principles of Macroeconomics Abdiah, Suleman 18/45 Open"
255,"TH 1:00 PM-2:40 PM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
256,"1.00 1/6/2020 4/17/2020EC 118 01 Principles of Microeconomics Quaicoe, Nana A.G.T. 1/45 Open"
257,"MWF 1:15 PM-2:20 PM; Wartburg College Campus, Whitehouse Business Center, CLASSROOM"
258,"1.00 1/6/2020 4/17/2020EC 118 02 Principles of Microeconomics Quaicoe, Nana A.G.T. 4/45 Open"
259,"TH 9:35 AM-11:15 AM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
260,"1.00 1/6/2020 4/17/2020EC 318 01 Microeconomic Theory Quaicoe, Nana A.G.T. 13/30 Open"
261,"MWF 9:00 AM-10:05 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
262,"1.00 1/6/2020 4/17/2020EC 418 01 Sustainable Economics and Finance Quaicoe, Nana A.G.T. 18/30 Open"
263,"MWF 10:45 AM-11:50 AM; Wartburg College Campus, Whitehouse Business Center, LECTURE ROOM"
264,"1.00 1/6/2020 4/17/2020EC 462 01 Senior Thesis II Quaicoe, Nana A.G.T. 6/18 Open"
265,"T 7:45 AM-9:25 AM; Wartburg College Campus, Whitehouse Business Center, Classroom"
